feature,coefficient
number_inpatient,0.34222546687973016
number_diagnoses,0.08006427091997906
diabetesMed,0.06956766874868872
time_in_hospital,0.06758940154569866
age,0.05925462267409395
num_medications,0.050767539322331696
number_emergency,0.030604533238799612
gender,0.008434200393334382
change,0.00521485548369118
num_lab_procedures,0.002122718545114058
number_outpatient,-0.006252486254464088
insulin,-0.029772922888934194
num_procedures,-0.04107479541727492
